Name,City,State,Zip,Amount
Jesuit High School,New Orleans,LA,70119,150
Mountlake Terrace High School,Mountlake Ter,WA,98043,150
Georgia Military College High School,Milledgeville,GA,31061,150
Saint Dominic High School,O Fallon,MO,63366,2700
Smithtown High School - Eastern Campus,Saint James,NY,11780,150
Trinity Christian School of Academics,Fayetteville,NC,28311,500
St Petersburg Collegiate High School,St Petersburg,FL,33710,150
Comenius School,Franklin,TN,37069,150
Owatonna High School,Owatonna,MN,55060,150
Ursuline School,New Rochelle,NY,10804,2700
Winslow High School,Winslow,ME,04901,150
North Kingstown Senior High School,N Kingstown,RI,02852,150
Greenbrier High School,Evans,GA,30809,150
Great Falls High School,Great Falls,MT,59405,150
Valor Christian High School,Hghlnds Ranch,CO,80126,500
Parkway West High School,Ballwin,MO,63011,150
Bishop Chatard High School,Indianapolis,IN,46220,2700
Garner Magnet High School,Garner,NC,27529,150
Waterford Union High School,Waterford,WI,53185,150
Mother Lode Adventist Junior Academy,Sonora,CA,95370,500
Pepperell High School,Lindale,GA,30147,150
Liberty Common High School,Fort Collins,CO,80525,500
Blaine High School,Blaine,MN,55434,150
Ellington High School,Ellington,CT,06029,150
Byron Center Senior High School,Byron Center,MI,49315,150
Bishop Miege High School,Roeland Park,KS,66205,2700
Chesterton Academy of Albuquerque,Albuquerque,NM,87110,2700
The Stony Brook School,Stony Brook,NY,11790,500
Quincy Notre Dame High School,Quincy,IL,62301,2700
Seminole Senior High School,Seminole,FL,33776,150
Cardinal O'Hara High School,Springfield,PA,19064,2700
Jasper High School,Jasper,IN,47546,150
Veritas School,Richmond,VA,23227,150
Wantagh High School,Wantagh,NY,11793,150
Thomas MacLaren State Charter School,Colorado Spgs,CO,80918,500
Learner High School,Windermere,FL,34786,150
Xavier High School,Middletown,CT,06457,2700
Olentangy High School,Lewis Center,OH,43035,150
Holy Trinity Episcopal Academy,Melbourne,FL,32940,150
Newark High School,Newark,NY,14513,150
Archbishop Wood High School,Warminster,PA,18974,2700
Rogers High School,Rogers,AR,72758,150
Archbishop Murphy High School,Everett,WA,98208,2700
Jupiter Community Senior High School,Jupiter,FL,33458,150
Pomona Catholic High School,Pomona,CA,91768,2700
Commonwealth Connections Academy,Harrisburg,PA,17112,150
John Paul II Catholic High School,Greenville,NC,27834,2700
Saint Michael the Archangel High School,Fredericksbrg,VA,22407,2700
All Saints Episcopal School,Tyler,TX,75701,150
Saint Michael the Archangel Academy,Irvine,CA,92620,2700
Fusion Academy,White Plains,NY,10604,150
Dominican High School,Whitefish Bay,WI,53217,2700
Norwayne High School,Creston,OH,44217,150
John Paul II High School,Plano,TX,75075,2700
Saint Joseph's Catholic School,Greenville,SC,29607,2700
Needham High School,Needham,MA,02494,150
Central Bucks High School South,Warrington,PA,18976,150
St. Michael the Archangel Catholic High School,Kansas City,MO,64138,2700
Keswick Christian School,St Petersburg,FL,33708,500
Lutheran High School of Indianapolis,Indianapolis,IN,46237,500
Saint Joseph Catholic Academy,Kenosha,WI,53143,2700
Brainerd Senior High School,Brainerd,MN,56401,150
Sacred Heart Academy,Grand Rapids,MI,49504,2700
MAS 6-12 at Zelda Glazer,Miami,FL,33185,500
Notre Dame College Prep,Niles,IL,60714,150
Western High School,Parma,MI,49269,150
Valparaiso High School,Valparaiso,IN,46385,150
Sandia High School,Albuquerque,NM,87110,150
CAM Academy,Battle Ground,WA,98604,150
Nazareth Academy,La Grange Pk,IL,60526,150
Obra D Tompkins High School,Katy,TX,77494,150
Crestview High School,Columbiana,OH,44408,150
Glenbrook North High School,Northbrook,IL,60062,150
Catholic Memorial High School,Waukesha,WI,53186,2700
Augustine Classical Academy,Mechanicville,NY,12118,150
Mascoutah High School,Mascoutah,IL,62258,500
Maine Township High School South,Park Ridge,IL,60068,500
North Stafford High School,Stafford,VA,22554,150
Bonita Springs High School,Bonita Springs,FL,34135,150
P K Yonge Developmental Research School,Gainesville,FL,32601,150
Daniel 1 Academy,Cookeville,TN,38506,500
Pendleton Heights High School,Pendleton,IN,46064,150
Trinity Collegiate School,Darlington,SC,29532,500
St. Thomas Aquinas High School,Edison,NJ,08820,2700
Westerly High School,Westerly,RI,02891,150
Lowcountry Preparatory School,Pawleys Isl,SC,29585,500
Chesterton Academy of Milwaukee,Menomonee Fls,WI,53051,2700
Bexley High School,Bexley,OH,43209,150
Acellus Academy,Kansas City,MO,64153,500
Massachusetts Virtual Academy at Greenfield,Greenfield,MA,01301,500
Thomas Jefferson High School for Science and Technology,Alexandria,VA,22312,150
Sheridan Technical High School,Ft Lauderdale,FL,33312,150
Belen Jesuit Preparatory School,Miami,FL,33184,2700
Saint Louis Catholic High School,Lake Charles,LA,70601,2700
Academic Magnet High School,N Charleston,SC,29405,150
Nonnewaug High School,Woodbury,CT,06798,150
Detroit Catholic Central High School,Novi,MI,48374,2700
North Central Texas Academy,Granbury,TX,76048,150
Kennewick High School,Kennewick,WA,99336,150
Somerset Academy Canyons High School,Boynton Beach,FL,33472,500
Ayer Shirley Regional High School,Ayer,MA,01432,150
Duchesne Academy of the Sacred Heart,Omaha,NE,68131,2700
Mcquaid Jesuit High School,Rochester,NY,14618,500
Pius X High School,Lincoln,NE,68510,2700
Our Lady Of Mercy Academy,Syosset,NY,11791,150
Seacoast Collegiate High School,Santa Rsa Bch,FL,32459,500
Fairlawn High School,Sidney,OH,45365,150
The John Cooper School,The Woodlands,TX,77381,500
Glastonbury High School,Glastonbury,CT,06033,150
Speedway High School,Speedway,IN,46224,150
Archbishop Chapelle High School,Metairie,LA,70003,2700
Elkhorn High School,Elkhorn,NE,68022,150
Bishop Watterson High School,Columbus,OH,43214,2700
Mercy Academy,Louisville,KY,40228,500
Sedes Sapientiae School,Chatham,NJ,00nan,2700
Saint Charles Preparatory High School,Columbus,OH,43209,2700
New Albany High School,New Albany,IN,47150,150
Kent Island High School,Stevensville,MD,21666,150
Elyria Catholic High School,Elyria,OH,44035,2700
Beaver Area High School,Beaver,PA,15009,150
Sussex Academy,Georgetown,DE,19947,500
Kaneland High School,Maple Park,IL,60151,150
Addenbrooke Classical Academy,Lakewood,CO,80226,150
Saint Vincent Pallotti High School,Laurel,MD,20707,2700
Holy Spirit Academy,Monticello,MN,55362,150
Elko High School,Elko,NV,89801,150
Hudson Senior High School,Hudson,WI,54016,150
Mills E Godwin High School,Richmond,VA,23238,150
Massaponax High School,Fredericksbrg,VA,22407,500
Blackman High School,Murfreesboro,TN,37128,150
Crosby Ironton High School,Crosby,MN,56441,150
Theodore Roosevelt High School,Kent,OH,44240,150
Linganore High School,Frederick,MD,21701,500
Archbishop Molloy High School,Briarwood,NY,11435,2700
Saint Xavier High School,Louisville,KY,40217,2700
Pope John Paul II Catholic High School,Huntsville,AL,35806,2700
Saint Francis High School - College Preparatory,Wheaton,IL,60187,2700
Loyola Academy,Wilmette,IL,60091,500
Lake Wales High School,Lake Wales,FL,33853,150
Somerset Academy of Las Vegas - Sky Pointe Campus,Las Vegas,NV,89131,500
Waukegan High School,Waukegan,IL,60085,150
Lasalle High School,Milwaukie,OR,97222,150
Archbishop Alter High School,Kettering,OH,45429,2700
Walled Lake Northern High School,Commerce Twp,MI,48382,150
Miller Place High School,Miller Place,NY,11764,150
Wheaton Academy,West Chicago,IL,60185,150
Alexandria Area High School,Alexandria,MN,56308,150
Owensboro Catholic High School,Owensboro,KY,42301,2700
Stissing Mountain Junior-Senior High School,Pine Plains,NY,12567,150
Bishop Sullivan Catholic High School,Virginia Bch,VA,23462,2700
Bishop Mcguinness High School,Oklahoma City,OK,73118,2700
Hamilton Southeastern High School,Fishers,IN,46037,150
Strake Jesuit College Preparatory School,Houston,TX,77036,2700
Ottawa-Glandorf High School,Ottawa,OH,45875,150
North Myrtle Beach High School,Little River,SC,29566,150
Cedaredge High School,Cedaredge,CO,81413,150
Edison Collegiate High School: Lee Campus,Fort Myers,FL,33919,150
Grand Blanc Community School,Grand Blanc,MI,48439,150
Rochester Adams High School,Rochester Hls,MI,48306,150
Chesterton Academy of Notre Dame,Spokane,WA,99217,2700
Chesterton Academy of St. Marys,Mechanicsvlle,MD,20659,2700
New Richmond High School,New Richmond,OH,45157,150
Catholic Central High School,London,ON,00nan,2700
Andrean High School,Merrillville,IN,46410,500
Fredericksburg High School,Fredericksbrg,TX,78624,150
Gulf Breeze High School,Gulf Breeze,FL,32561,150
Tocoi Creek High School,Vancouver,WA,98686,150
Mainland Regional High School,Linwood,NJ,08221,500
Grosse Pointe South High School,Grosse Pointe,MI,48236,150
Saint Marys Preparatory,Orchard Lake,MI,48324,2700
Robert Service High School,Anchorage,AK,99507,150
Rocky Point Junior-Senior High School,Rocky Point,NY,11778,150
Kimball Union Academy,Meriden,NH,03770,150
Rocky Bayou Christian School,Niceville,FL,32578,500
Alexander W Dreyfoos School Of The Arts,West Palm Bch,FL,33401,150
Adlai E Stevenson High School,Lincolnshire,IL,60069,150
Rockford Senior High School,Rockford,MI,49341,150
St. Monica Academy,Montrose,CA,91020,2700
Lyons Township High School North Campus,La Grange,IL,60525,500
Holmdel High School,Holmdel,NJ,07733,150
Cardinal Kung Academy,Stamford,CT,06905,2700
Barbara Ingram School for the Arts,Hagerstown,MD,21740,150
